timestamp,x,y,ssid,bssid,rssi,band,interface,wifi_type,uwb_d1,uwb_d2,uwb_d3,uwb_d4,uwb_rssi1,uwb_rssi2,uwb_rssi3,uwb_rssi4,uwb_rssi_avg,uwb_anchor_count,uwb_rssi_count,uwb_distance_error_m,uwb_distance_error_max_m,uwb_raw,odometry_distance_m,uwb_distance_m,wheel_distance_error_m,heading_drift_deg,last_turn_error_deg
2026-05-25 11:14:04,1.436,0.443,leesu,C6:75:AB:B1:C3:17,-42.0,2.4GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,capstone,B0:38:6C:22:35:17,-46.0,5GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,capstone,B0:38:6C:22:35:16,-47.0,2.4GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,HANSUNG-INFO,EC:FC:C6:24:58:C2,-54.0,2.4GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,,EC:FC:C6:24:58:C0,-55.0,2.4GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,hansung,EC:FC:C6:24:58:C3,-55.0,2.4GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,FE:5B:C2:FE:5D:D9,-55.0,5GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,,EC:FC:C6:24:58:C1,-56.0,2.4GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:04,1.436,0.443,hansung,EC:FC:C6:23:85:23,-112.0,2.4GHz,wlan1,Dongle,2.02,3.12,3.36,1.97,,,,,,4,0,0.374,0.512,--------------------,0.0,0.0,0.0,0.0,
2026-05-25 11:14:21,0.842,0.965,leesu,C6:75:AB:B1:C3:17,-37.0,2.4GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
2026-05-25 11:14:21,0.842,0.965,capstone,B0:38:6C:22:35:17,-46.0,5GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
2026-05-25 11:14:21,0.842,0.965,capstone,B0:38:6C:22:35:16,-50.0,2.4GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
2026-05-25 11:14:21,0.842,0.965,HANSUNG-INFO,EC:FC:C6:24:58:C2,-54.0,2.4GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
2026-05-25 11:14:21,0.842,0.965,,EC:FC:C6:24:58:C0,-55.0,2.4GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
2026-05-25 11:14:21,0.842,0.965,hansung,EC:FC:C6:24:58:C3,-55.0,2.4GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
2026-05-25 11:14:21,0.842,0.965,,EC:FC:C6:24:58:C1,-60.0,2.4GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
2026-05-25 11:14:21,0.842,0.965,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,FE:5B:C2:FE:5D:D9,-67.0,5GHz,wlan1,Dongle,1.86,2.34,3.41,2.5,,,,,,4,0,0.377,0.566,ANCHOR 0x01 : 1.86 m,0.0,0.0,0.0,0.0,-90.0
