timestamp,x,y,ssid,bssid,rssi,band,interface,wifi_type,uwb_d1,uwb_d2,uwb_d3,uwb_d4,uwb_rssi1,uwb_rssi2,uwb_rssi3,uwb_rssi4,uwb_rssi_avg,uwb_anchor_count,uwb_rssi_count,uwb_distance_error_m,uwb_distance_error_max_m,uwb_raw,odometry_distance_m,uwb_distance_m,wheel_distance_error_m,heading_drift_deg,last_turn_error_deg
2026-05-23 19:10:57,1.216,0.463,leesu,C6:75:AB:B1:C3:17,-34.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,capstone,B0:38:6C:22:35:17,-47.0,5GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,capstone,B0:38:6C:22:35:16,-49.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,,EC:FC:C6:24:58:D0,-51.0,5GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,,EC:FC:C6:24:58:D1,-51.0,5GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,HANSUNG-INFO,EC:FC:C6:24:58:D2,-51.0,5GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,hansung,EC:FC:C6:24:58:D3,-51.0,5GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,,EC:FC:C6:24:58:C1,-57.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,hansung,EC:FC:C6:24:58:C3,-57.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,,EC:FC:C6:24:58:C0,-57.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,HANSUNG-INFO,EC:FC:C6:24:58:C2,-59.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,7A:5C:9A:40:97:67,-63.0,5GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,,EC:FC:C6:24:58:C0,-65.0,5GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,HANSUNG-INFO,EC:FC:C6:23:85:22,-85.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,,EC:FC:C6:23:85:21,-86.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,hansung,EC:FC:C6:23:85:23,-86.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:10:57,1.216,0.463,,58:86:94:35:F5:C1,-87.0,2.4GHz,wlan1,Dongle,1.88,3.02,3.48,2.18,,,,,,4,0,0.4,0.592,--------------------,0.0,0.0,0.0,0.0,
2026-05-23 19:11:13,1.323,1.345,leesu,C6:75:AB:B1:C3:17,-44.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,capstone,B0:38:6C:22:35:17,-46.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,capstone,B0:38:6C:22:35:16,-49.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,HANSUNG-INFO,EC:FC:C6:24:58:D2,-51.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,7A:5C:9A:40:97:67,-55.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,EC:FC:C6:24:58:D0,-55.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,EC:FC:C6:24:58:D1,-55.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,hansung,EC:FC:C6:24:58:D3,-55.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,EC:FC:C6:24:58:C1,-57.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,hansung,EC:FC:C6:24:58:C3,-57.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,EC:FC:C6:24:58:C0,-57.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,HANSUNG-INFO,EC:FC:C6:24:58:C2,-59.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,EC:FC:C6:24:58:C0,-65.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,B0:1F:8C:C9:B0:11,-80.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,B0:1F:8C:C9:B0:10,-81.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,HANSUNG-INFO,B0:1F:8C:C9:B0:12,-81.0,5GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,EC:FC:C6:23:85:21,-86.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,hansung,EC:FC:C6:23:85:23,-86.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,58:86:94:35:F5:C1,-88.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,,EC:FC:C6:23:85:20,-91.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:13,1.323,1.345,HANSUNG-INFO,EC:FC:C6:23:85:22,-109.0,2.4GHz,wlan1,Dongle,2.33,2.31,2.85,2.38,,,,,,4,0,0.365,0.511,--------------------,0.0,0.0,0.0,0.0,-81.1
2026-05-23 19:11:30,0.872,2.486,leesu,C6:75:AB:B1:C3:17,-44.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,capstone,B0:38:6C:22:35:17,-44.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,EC:FC:C6:24:58:D0,-52.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,EC:FC:C6:24:58:D1,-52.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,HANSUNG-INFO,EC:FC:C6:24:58:D2,-52.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,capstone,B0:38:6C:22:35:16,-54.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,hansung,EC:FC:C6:24:58:D3,-55.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,EC:FC:C6:24:58:C1,-57.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,hansung,EC:FC:C6:24:58:C3,-57.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,EC:FC:C6:24:58:C0,-57.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,7A:5C:9A:40:97:67,-57.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,HANSUNG-INFO,EC:FC:C6:24:58:C2,-59.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,B0:1F:8C:C9:B0:11,-80.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,B0:1F:8C:C9:B0:10,-81.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,HANSUNG-INFO,B0:1F:8C:C9:B0:12,-81.0,5GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,58:86:94:35:F5:C1,-88.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,,EC:FC:C6:23:85:20,-91.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
2026-05-23 19:11:30,0.872,2.486,HANSUNG-INFO,EC:FC:C6:23:85:22,-109.0,2.4GHz,wlan1,Dongle,2.83,1.77,2.22,3.58,,,,,,4,0,0.423,0.76,ANCHOR 0x01 : 2.83 m,0.0,0.0,0.0,0.0,-82.1
