timestamp,x,y,ssid,bssid,rssi,band,interface,wifi_type,uwb_d1,uwb_d2,uwb_d3,uwb_d4,uwb_rssi1,uwb_rssi2,uwb_rssi3,uwb_rssi4,uwb_rssi_avg,uwb_anchor_count,uwb_rssi_count,uwb_distance_error_m,uwb_distance_error_max_m,uwb_raw,odometry_distance_m,uwb_distance_m,wheel_distance_error_m,heading_drift_deg,last_turn_error_deg
2026-05-25 17:58:54,1.822,0.436,cap4,02:44:42:B6:22:B5,-38.0,5GHz,wlan1,Dongle,1.88,9.69,10.67,4.04,,,,,,4,0,0.156,0.24,--------------------,0.0,0.0,0.0,0.0,-81.9
2026-05-25 17:58:54,1.822,0.436,cap2,32:F6:EF:52:24:F7,-38.0,5GHz,wlan1,Dongle,1.88,9.69,10.67,4.04,,,,,,4,0,0.156,0.24,--------------------,0.0,0.0,0.0,0.0,-81.9
2026-05-25 17:58:54,1.822,0.436,cap5,0E:7A:15:8B:05:6A,-44.0,2.4GHz,wlan1,Dongle,1.88,9.69,10.67,4.04,,,,,,4,0,0.156,0.24,--------------------,0.0,0.0,0.0,0.0,-81.9
2026-05-25 17:59:13,0.806,1.934,cap4,02:44:42:B6:22:B5,-38.0,5GHz,wlan1,Dongle,2.25,8.1,9.67,5.53,,,,,,4,0,0.087,0.155,--------------------,0.0,0.0,0.0,0.0,-88.8
2026-05-25 17:59:13,0.806,1.934,cap2,32:F6:EF:52:24:F7,-38.0,5GHz,wlan1,Dongle,2.25,8.1,9.67,5.53,,,,,,4,0,0.087,0.155,--------------------,0.0,0.0,0.0,0.0,-88.8
2026-05-25 17:59:13,0.806,1.934,cap5,0E:7A:15:8B:05:6A,-44.0,2.4GHz,wlan1,Dongle,2.25,8.1,9.67,5.53,,,,,,4,0,0.087,0.155,--------------------,0.0,0.0,0.0,0.0,-88.8
2026-05-25 17:59:21,0.702,1.934,cap4,02:44:42:B6:22:B5,-38.0,5GHz,wlan1,Dongle,2.29,8.07,9.7,5.69,,,,,,4,0,0.107,0.198,ANCHOR 0x03 : 9.70 m,0.0,0.0,0.0,0.0,-88.8
2026-05-25 17:59:21,0.702,1.934,cap2,32:F6:EF:52:24:F7,-38.0,5GHz,wlan1,Dongle,2.29,8.07,9.7,5.69,,,,,,4,0,0.107,0.198,ANCHOR 0x03 : 9.70 m,0.0,0.0,0.0,0.0,-88.8
2026-05-25 17:59:21,0.702,1.934,cap5,0E:7A:15:8B:05:6A,-44.0,2.4GHz,wlan1,Dongle,2.29,8.07,9.7,5.69,,,,,,4,0,0.107,0.198,ANCHOR 0x03 : 9.70 m,0.0,0.0,0.0,0.0,-88.8
2026-05-25 17:59:57,0.708,3.672,,,,,,Unknown,3.62,6.42,8.07,6.42,,,,,,4,0,0.099,0.143,--------------------,0.0,0.0,0.0,0.0,-88.8
2026-05-25 18:00:29,1.118,5.116,cap5,0E:7A:15:8B:05:6A,-37.0,2.4GHz,wlan1,Dongle,5.31,5.12,6.96,7.15,,,,,,4,0,0.08,0.107,ANCHOR 0x01 : 5.31 m,0.0,0.0,0.0,0.0,-88.8
2026-05-25 18:00:29,1.118,5.116,cap4,02:44:42:B6:22:B5,-40.0,5GHz,wlan1,Dongle,5.31,5.12,6.96,7.15,,,,,,4,0,0.08,0.107,ANCHOR 0x01 : 5.31 m,0.0,0.0,0.0,0.0,-88.8
2026-05-25 18:00:29,1.118,5.116,cap2,32:F6:EF:52:24:F7,-44.0,5GHz,wlan1,Dongle,5.31,5.12,6.96,7.15,,,,,,4,0,0.08,0.107,ANCHOR 0x01 : 5.31 m,0.0,0.0,0.0,0.0,-88.8
2026-05-25 18:00:47,1.933,6.497,cap2,32:F6:EF:52:24:F7,-33.0,5GHz,wlan1,Dongle,6.85,3.84,5.47,7.68,,,,,,4,0,0.082,0.123,ANCHOR 0x03 : 5.47 m,0.0,0.0,0.0,0.0,-88.8
2026-05-25 18:00:47,1.933,6.497,cap5,0E:7A:15:8B:05:6A,-37.0,2.4GHz,wlan1,Dongle,6.85,3.84,5.47,7.68,,,,,,4,0,0.082,0.123,ANCHOR 0x03 : 5.47 m,0.0,0.0,0.0,0.0,-88.8
