timestamp,x,y,ssid,bssid,avg_rssi,std_rssi,band
2026-05-21 16:28:34,0.15,3.15,mobile201-2g,B0:38:6C:4E:7E:AC,-51.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,mobile201-5g,B0:38:6C:4E:7E:AE,-58.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,mobile202-2g,B0:38:6C:4E:8C:54,-57.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,leesu,C6:75:AB:B1:C3:17,-45.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]63d9,CA:DD:6A:0B:63:D9,-54.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]6435,CA:DD:6A:0B:64:35,-55.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]f03b,CA:DD:6A:0D:F0:3B,-51.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]7751,CA:DD:6A:15:77:51,-47.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]779f,CA:DD:6A:15:77:9F,-56.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]c67f,CA:DD:6A:15:C6:7F,-57.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]ffc5,CA:DD:6A:15:FF:C5,-55.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]0ec5,CA:DD:6A:16:0E:C5,-53.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]e6c7,CA:DD:6A:19:E6:C7,-54.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]4617,CA:DD:6A:1A:46:17,-49.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]4627,CA:DD:6A:1A:46:27,-36.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]51cb,CA:DD:6A:1A:51:CB,-39.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,[LG_CeilingCassette A/C]5293,CA:DD:6A:1A:52:93,-49.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:13:58:D0,-78.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:13:58:D1,-78.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,E8:26:89:13:58:D2,-76.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,E8:26:89:13:58:D3,-78.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:14:15:00,-50.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:14:15:01,-51.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,E8:26:89:14:15:02,-59.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,hansung,E8:26:89:14:15:03,-51.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:14:15:10,-43.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:14:15:11,-43.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,E8:26:89:14:15:12,-42.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,E8:26:89:14:15:13,-43.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:14:B2:D0,-77.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:14:B2:D1,-77.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,E8:26:89:14:B2:D2,-71.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,E8:26:89:14:BE:90,-79.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,E8:26:89:14:BE:92,-78.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,E8:26:89:14:BE:93,-76.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:22:B9:90,-73.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:22:B9:91,-75.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:22:B9:92,-78.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:22:B9:93,-76.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:24:9A:20,-55.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:24:9A:21,-55.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:24:9A:22,-54.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:24:9A:23,-57.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:24:9A:30,-42.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:24:9A:31,-42.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:24:9A:32,-42.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:24:9A:33,-40.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:24:C0:02,-64.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:24:C0:10,-58.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:24:C0:11,-58.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:24:C0:12,-64.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:24:C0:13,-59.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:25:19:D0,-76.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:25:19:D1,-76.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:25:19:D2,-76.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:25:19:D3,-76.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:26:0A:F2,-77.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:26:0A:F3,-81.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:48:80,-60.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:48:81,-60.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:26:48:83,-60.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:48:90,-64.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:48:91,-64.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:26:48:92,-62.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:26:48:93,-62.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:4A:A0,-37.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:4A:A1,-37.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:26:4A:A2,-38.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:26:4A:A3,-37.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:4A:B0,-44.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:4A:B1,-44.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:26:4A:B2,-44.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:26:4A:B3,-44.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:C4:C1,-62.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:26:C4:C2,-61.0,0.0,2.4GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:C4:D0,-56.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,,EC:FC:C6:26:C4:D1,-57.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,HANSUNG-INFO,EC:FC:C6:26:C4:D2,-56.0,0.0,5GHz
2026-05-21 16:28:34,0.15,3.15,hansung,EC:FC:C6:26:C4:D3,-58.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,TELLO-57E63F,60:60:1F:57:E6:3F,-46.0,0.0,2.4GHz
2026-05-21 22:57:56,0.15,1.65,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,76:A4:79:1E:45:D9,-72.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,,B0:1F:8C:C8:AB:80,-89.0,0.0,2.4GHz
2026-05-21 22:57:56,0.15,1.65,,B0:1F:8C:C8:AB:90,-87.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,,B0:1F:8C:C8:AB:91,-88.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,HANSUNG-INFO,B0:1F:8C:C8:AB:92,-91.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,hansung,B0:1F:8C:C8:AB:93,-90.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,,B0:1F:8C:C9:B0:10,-82.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,,B0:1F:8C:C9:B0:11,-82.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,HANSUNG-INFO,B0:1F:8C:C9:B0:12,-82.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,hansung,B0:1F:8C:C9:B0:13,-84.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,capstone,B0:38:6C:22:35:16,-54.0,1.0,2.4GHz
2026-05-21 22:57:56,0.15,1.65,capstone,B0:38:6C:22:35:17,-44.5,2.5,5GHz
2026-05-21 22:57:56,0.15,1.65,1414_5G,B0:38:6C:7D:81:EC,-50.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,1414,B0:38:6C:7D:81:EE,-48.0,1.0,2.4GHz
2026-05-21 22:57:56,0.15,1.65,leesu,C6:75:AB:B1:C3:17,-51.5,9.5,2.4GHz
2026-05-21 22:57:56,0.15,1.65,,EC:FC:C6:23:85:20,-86.0,0.0,2.4GHz
2026-05-21 22:57:56,0.15,1.65,,EC:FC:C6:23:85:21,-94.5,7.5,2.4GHz
2026-05-21 22:57:56,0.15,1.65,hansung,EC:FC:C6:23:85:23,-81.0,0.0,2.4GHz
2026-05-21 22:57:56,0.15,1.65,,EC:FC:C6:24:58:C0,-53.5,3.5,2.4GHz
2026-05-21 22:57:56,0.15,1.65,,EC:FC:C6:24:58:C1,-53.5,3.5,2.4GHz
2026-05-21 22:57:56,0.15,1.65,HANSUNG-INFO,EC:FC:C6:24:58:C2,-52.5,2.5,2.4GHz
2026-05-21 22:57:56,0.15,1.65,hansung,EC:FC:C6:24:58:C3,-53.5,2.5,2.4GHz
2026-05-21 22:57:56,0.15,1.65,,EC:FC:C6:24:58:D0,-55.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,,EC:FC:C6:24:58:D1,-54.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,HANSUNG-INFO,EC:FC:C6:24:58:D2,-54.0,0.0,5GHz
2026-05-21 22:57:56,0.15,1.65,hansung,EC:FC:C6:24:58:D3,-55.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,TELLO-57E63F,60:60:1F:57:E6:3F,-50.0,3.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,76:A4:79:1E:45:D9,-70.5,3.5,5GHz
2026-05-21 22:43:12,0.15,1.95,,B0:1F:8C:C8:AB:90,-90.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,,B0:1F:8C:C8:AB:91,-88.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,HANSUNG-INFO,B0:1F:8C:C8:AB:92,-90.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,,B0:1F:8C:C9:B0:01,-110.0,0.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,,B0:1F:8C:C9:B0:10,-81.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,,B0:1F:8C:C9:B0:11,-82.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,HANSUNG-INFO,B0:1F:8C:C9:B0:12,-82.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,hansung,B0:1F:8C:C9:B0:13,-82.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,capstone,B0:38:6C:22:35:16,-53.0,2.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,capstone,B0:38:6C:22:35:17,-44.5,1.5,5GHz
2026-05-21 22:43:12,0.15,1.95,1414_5G,B0:38:6C:7D:81:EC,-50.5,0.5,5GHz
2026-05-21 22:43:12,0.15,1.95,1414,B0:38:6C:7D:81:EE,-50.5,0.5,2.4GHz
2026-05-21 22:43:12,0.15,1.95,leesu,C6:75:AB:B1:C3:17,-44.5,8.5,2.4GHz
2026-05-21 22:43:12,0.15,1.95,,EC:FC:C6:23:85:20,-91.0,0.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,hansung,EC:FC:C6:23:85:23,-88.0,0.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,,EC:FC:C6:24:58:C0,-58.0,6.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,,EC:FC:C6:24:58:C1,-57.0,6.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,HANSUNG-INFO,EC:FC:C6:24:58:C2,-57.5,5.5,2.4GHz
2026-05-21 22:43:12,0.15,1.95,hansung,EC:FC:C6:24:58:C3,-52.0,0.0,2.4GHz
2026-05-21 22:43:12,0.15,1.95,,EC:FC:C6:24:58:D0,-52.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,,EC:FC:C6:24:58:D1,-52.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,HANSUNG-INFO,EC:FC:C6:24:58:D2,-52.0,0.0,5GHz
2026-05-21 22:43:12,0.15,1.95,hansung,EC:FC:C6:24:58:D3,-52.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,,58:86:94:35:F5:C1,-84.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,,B0:1F:8C:C9:B0:01,-95.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,,B0:1F:8C:C9:B0:10,-84.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,,B0:1F:8C:C9:B0:11,-85.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,HANSUNG-INFO,B0:1F:8C:C9:B0:12,-86.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,hansung,B0:1F:8C:C9:B0:13,-85.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,capstone,B0:38:6C:22:35:16,-52.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,capstone,B0:38:6C:22:35:17,-49.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,1414_5G,B0:38:6C:7D:81:EC,-45.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,1414,B0:38:6C:7D:81:EE,-52.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,leesu,C6:75:AB:B1:C3:17,-39.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,,EC:FC:C6:24:58:C0,-49.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,,EC:FC:C6:24:58:C1,-51.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,HANSUNG-INFO,EC:FC:C6:24:58:C2,-49.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,hansung,EC:FC:C6:24:58:C3,-49.0,0.0,2.4GHz
2026-05-21 23:03:00,0.15,2.25,,EC:FC:C6:24:58:D0,-53.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,,EC:FC:C6:24:58:D1,-53.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,HANSUNG-INFO,EC:FC:C6:24:58:D2,-53.0,0.0,5GHz
2026-05-21 23:03:00,0.15,2.25,hansung,EC:FC:C6:24:58:D3,-53.0,0.0,5GHz
2026-05-21 23:06:23,0.15,2.55,,58:86:94:35:F5:C1,-85.0,0.0,2.4GHz
2026-05-21 23:06:23,0.15,2.55,,B0:1F:8C:C9:B0:10,-84.0,0.0,5GHz
2026-05-21 23:06:23,0.15,2.55,,B0:1F:8C:C9:B0:11,-83.0,0.0,5GHz
2026-05-21 23:06:23,0.15,2.55,HANSUNG-INFO,B0:1F:8C:C9:B0:12,-83.0,0.0,5GHz
2026-05-21 23:06:23,0.15,2.55,capstone,B0:38:6C:22:35:16,-55.0,0.0,2.4GHz
2026-05-21 23:06:23,0.15,2.55,capstone,B0:38:6C:22:35:17,-46.5,0.5,5GHz
2026-05-21 23:06:23,0.15,2.55,1414_5G,B0:38:6C:7D:81:EC,-51.0,2.0,5GHz
2026-05-21 23:06:23,0.15,2.55,1414,B0:38:6C:7D:81:EE,-55.0,2.0,2.4GHz
2026-05-21 23:06:23,0.15,2.55,leesu,C6:75:AB:B1:C3:17,-48.0,2.0,2.4GHz
2026-05-21 23:06:23,0.15,2.55,,EC:FC:C6:24:58:C0,-63.5,7.5,2.4GHz
2026-05-21 23:06:23,0.15,2.55,,EC:FC:C6:24:58:C1,-62.5,1.5,2.4GHz
2026-05-21 23:06:23,0.15,2.55,HANSUNG-INFO,EC:FC:C6:24:58:C2,-63.0,2.0,2.4GHz
2026-05-21 23:06:23,0.15,2.55,hansung,EC:FC:C6:24:58:C3,-65.0,5.0,2.4GHz
2026-05-21 23:06:23,0.15,2.55,,EC:FC:C6:24:58:D1,-50.0,0.0,5GHz
2026-05-21 23:06:23,0.15,2.55,HANSUNG-INFO,EC:FC:C6:24:58:D2,-50.0,0.0,5GHz
2026-05-21 23:06:23,0.15,2.55,hansung,EC:FC:C6:24:58:D3,-50.0,0.0,5GHz
2026-05-21 22:57:13,0.44999999999999996,0.15,Galaxy S22 Ultra,5A:69:90:4F:6F:E1,-63.0,0.0,2.4GHz
2026-05-21 22:57:13,0.44999999999999996,0.15,TELLO-57E63F,60:60:1F:57:E6:3F,-49.0,0.0,2.4GHz
2026-05-21 22:57:13,0.44999999999999996,0.15,hansung,B0:1F:8C:C8:AB:93,-90.0,0.0,5GHz
2026-05-21 22:57:13,0.44999999999999996,0.15,,B0:1F:8C:C9:B0:10,-84.0,0.0,5GHz
2026-05-21 22:57:13,0.44999999999999996,0.15,,B0:1F:8C:C9:B0:11,-83.0,0.0,5GHz
2026-05-21 22:57:13,0.44999999999999996,0.15,HANSUNG-INFO,B0:1F:8C:C9:B0:12,-82.0,0.0,5GHz
